PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,ID_MUNICIPIO,AUTO_OFICIAL,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_OFICIAL,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_OFICIAL,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,MOTO_OFICIAL,MOTO_DE_ALQUILER,MOTO_PARTICULAR,ESTATUS
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	01","	001",452,4741,368872,5,2497,619,557,3599,112480,299,0,89105,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	01","	002",0,36,6870,0,2,18,6,20,5689,2,0,6199,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	01","	003",1,168,13988,0,7,10,18,4,13383,9,0,3776,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	01","	004",2,21,2700,0,0,6,7,0,1795,0,0,2122,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	01","	005",24,243,41830,0,46,90,35,180,17078,24,0,12852,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	01","	006",7,192,10518,0,13,21,2,19,5434,4,0,3772,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	01","	007",3,109,9415,0,1,36,3,7,6595,4,0,10017,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	01","	008",3,50,1819,0,1,4,2,0,1838,0,0,984,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	01","	009",0,43,3513,0,0,6,9,1,3016,0,0,2215,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	01","	010",2,45,4293,0,0,4,4,0,3323,0,0,2891,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	01","	011",12,80,13960,0,6,15,23,538,6088,3,0,5249,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	02","	001",0,918,222793,0,1149,1573,0,268,79210,0,0,3937,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	02","	002",0,1764,570883,0,615,905,0,115,149751,0,0,11257,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	02","	003",0,120,56464,0,235,211,0,15,21861,0,0,1399,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	02","	004",0,11133,916536,0,7137,1202,0,459,238436,0,0,43885,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	02","	005",0,1335,56750,0,230,82,0,28,20636,0,0,2275,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	02","	006",0,5,3318,0,73,4,0,56,1467,0,0,20,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	02","	007",0,0,375,0,0,0,0,0,126,0,0,4,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	03","	001",38,137,31493,7,5,114,257,47,20791,4,0,280,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	03","	002",16,138,24037,1,5,224,70,68,14932,2,0,248,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	03","	003",1499,10907,219707,39,433,660,2416,749,77569,67,7,7423,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	03","	008",144,14868,151780,2,594,546,250,1478,54756,1,158,13628,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	03","	009",5,239,6541,0,1,42,30,27,3952,0,0,172,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	04","	001",1,58,6458,0,9,37,15,11,1747,5,10,13028,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	04","	002",339,916,75090,23,431,324,838,285,23570,229,12,67123,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	04","	003",28,1368,70671,0,165,131,37,284,21415,40,170,35915,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	04","	004",10,191,10356,3,27,28,60,47,7289,2,26,21818,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	04","	005",9,56,3553,1,2,7,16,1,1561,1,0,5144,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	04","	006",15,27,4997,1,1,6,31,4,4335,3,9,5153,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	04","	007",8,21,1043,0,5,4,8,6,535,4,0,1547,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	04","	008",4,15,1413,1,0,9,16,1,1072,8,0,2096,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	04","	009",8,185,8786,2,14,16,47,39,7388,3,8,16811,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	04","	010",11,77,2054,0,0,2,35,0,1389,7,2,4067,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	04","	011",3,116,4740,0,5,11,8,26,5147,0,0,9513,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	04","	012",1,25,1910,0,3,12,7,3,1122,0,143,3421,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	04","	013",0,1,1331,0,0,4,1,3,864,0,0,3638,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	05","	001",1,0,316,0,0,8,0,0,236,0,0,8,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	05","	002",7,874,25217,0,461,16489,21,54,14900,0,0,1317,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	05","	003",1,31,4676,0,10,1318,0,3,3527,0,0,142,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	05","	004",3,93,4232,0,122,2270,15,0,4451,0,0,211,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	05","	005",0,0,211,0,0,6,0,0,191,0,0,2,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	05","	006",2,54,6569,0,156,340,6,20,4162,0,0,196,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	05","	007",0,1,2422,0,0,357,7,0,1815,1,0,96,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	05","	008",2,0,404,0,0,22,0,1,448,0,0,7,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	05","	009",0,0,11046,0,0,3149,0,3,6271,0,0,1639,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	05","	010",10,170,22396,0,234,1005,42,11,8240,2,0,1083,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	05","	011",0,1,744,1,0,448,3,0,1238,0,0,23,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	05","	012",0,0,321,0,0,10,0,0,312,0,0,5,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	05","	013",0,0,494,0,0,3,1,0,283,0,0,3,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	05","	014",0,2,1013,0,7,672,4,0,1542,0,0,19,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	05","	015",0,0,260,0,0,8,0,0,339,0,0,8,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	05","	016",0,0,362,0,0,22,1,0,195,0,0,8,Cifras Definitivas
